community_id,community_size,community_flavor,key,title,author,total_degree,out_mentions,in_mentions
0,139,neighborhood,william-shakespeare/hamlet,Hamlet,William Shakespeare,26,0,26
0,139,neighborhood,sinclair-lewis/main-street,Main Street,Sinclair Lewis,20,20,0
0,139,neighborhood,william-shakespeare/romeo-and-juliet,Romeo and Juliet,William Shakespeare,19,0,19
0,139,neighborhood,george-bernard-shaw/mrs-warren-s-profession,Mrs Warren's Profession,George Bernard Shaw,18,18,0
0,139,neighborhood,walter-scott/the-antiquary,The Antiquary,Walter Scott,16,16,0
0,139,neighborhood,george-eliot/felix-holt-the-radical,"Felix Holt, the Radical",George Eliot,13,13,0
0,139,neighborhood,james-fenimore-cooper/the-pioneers,The Pioneers,James Fenimore Cooper,13,13,0
0,139,neighborhood,james-fenimore-cooper/the-prairie,The Prairie,James Fenimore Cooper,13,13,0
0,139,neighborhood,walter-scott/kenilworth,Kenilworth,Walter Scott,13,13,0
0,139,neighborhood,william-shakespeare/king-lear,King Lear,William Shakespeare,12,0,12
0,139,neighborhood,james-fenimore-cooper/the-last-of-the-mohicans,The Last of the Mohicans,James Fenimore Cooper,11,9,2
0,139,neighborhood,walter-scott/old-mortality,Old Mortality,Walter Scott,11,10,1
0,139,neighborhood,j-d-salinger/the-catcher-in-the-rye,The Catcher in the Rye,J. D. Salinger,10,10,0
0,139,neighborhood,thomas-carlyle/on-heroes-hero-worship-and-the-heroic-in-history,"On Heroes, Hero-Worship, and The Heroic in History",Thomas Carlyle,9,9,0
0,139,neighborhood,anna-katharine-green/the-leavenworth-case,The Leavenworth Case,Anna Katharine Green,8,7,1
0,139,neighborhood,charles-dickens/our-mutual-friend,Our Mutual Friend,Charles Dickens,8,7,1
0,139,neighborhood,peter-thiel/zero-to-one,Zero to One,Peter Thiel,8,8,0
0,139,neighborhood,william-shakespeare/as-you-like-it,As You Like It,William Shakespeare,8,0,8
0,139,neighborhood,william-shakespeare/henry-v,Henry V,William Shakespeare,8,0,8
0,139,neighborhood,william-shakespeare/julius-caesar,Julius Caesar,William Shakespeare,8,0,8
0,139,neighborhood,william-shakespeare/richard-iii,Richard III,William Shakespeare,8,0,8
0,139,neighborhood,mark-twain/adventures-of-huckleberry-finn,Adventures of Huckleberry Finn,Mark Twain,7,7,0
0,139,neighborhood,walter-scott/guy-mannering,Guy Mannering,Walter Scott,7,7,0
0,139,neighborhood,william-dean-howells/the-rise-of-silas-lapham,The Rise of Silas Lapham,William Dean Howells,6,6,0
0,139,neighborhood,william-shakespeare/henry-iv,Henry IV,William Shakespeare,6,0,6
0,139,neighborhood,ben-jonson/the-alchemist,The Alchemist,Ben Jonson,5,2,3
0,139,neighborhood,dante-alighieri/divine-comedy,Divine Comedy,Dante Alighieri,5,0,5
0,139,neighborhood,william-shakespeare/a-midsummer-night-s-dream,A Midsummer Night's Dream,William Shakespeare,5,0,5
0,139,neighborhood,william-shakespeare/measure-for-measure,Measure for Measure,William Shakespeare,5,0,5
0,139,neighborhood,william-shakespeare/much-ado-about-nothing,Much Ado About Nothing,William Shakespeare,5,0,5
0,139,neighborhood,william-shakespeare/the-merchant-of-venice,The Merchant of Venice,William Shakespeare,5,0,5
0,139,neighborhood,arnold-bennett/how-to-live-on-twenty-four-hours-a-day,How to Live on Twenty-Four Hours a Day,Arnold Bennett,4,4,0
0,139,neighborhood,leo-tolstoy/anna-karenina,Anna Karenina,Leo Tolstoy,4,1,3
0,139,neighborhood,rudyard-kipling/kim,Kim,Rudyard Kipling,4,4,0
0,139,neighborhood,william-shakespeare/king-john,King John,William Shakespeare,4,0,4
0,139,neighborhood,william-shakespeare/richard-ii,Richard II,William Shakespeare,4,0,4
0,139,neighborhood,william-shakespeare/troilus-and-cressida,Troilus and Cressida,William Shakespeare,4,0,4
0,139,neighborhood,anthony-trollope/phineas-finn,Phineas Finn,Anthony Trollope,3,3,0
0,139,neighborhood,caleb-carr/the-alienist,The Alienist,Caleb Carr,3,3,0
0,139,neighborhood,charles-dickens/great-expectations,Great Expectations,Charles Dickens,3,3,0
0,139,neighborhood,douglas-adams/the-hitchhiker-s-guide-to-the-galaxy,The Hitchhiker's Guide to the Galaxy,Douglas Adams,3,1,2
0,139,neighborhood,edward-gibbon/the-history-of-the-decline-and-fall-of-the-roman-empire,The History of the Decline and Fall of the Roman Empire,Edward Gibbon,3,0,3
0,139,neighborhood,richard-brinsley-sheridan/the-rivals,The Rivals,Richard Brinsley Sheridan,3,0,3
0,139,neighborhood,william-shakespeare/henry-vi,Henry VI,William Shakespeare,3,0,3
0,139,neighborhood,william-shakespeare/twelfth-night,Twelfth Night,William Shakespeare,3,0,3
0,139,neighborhood,anonymous/the-koran,The Koran,Anonymous,2,0,2
0,139,neighborhood,e-nesbit/five-children-and-it,Five Children and It,E. Nesbit,2,2,0
0,139,neighborhood,henrik-ibsen/the-wild-duck,The Wild Duck,Henrik Ibsen,2,1,1
0,139,neighborhood,j-r-r-tolkien/the-lord-of-the-rings,The Lord of the Rings,J R R Tolkien,2,0,2
0,139,neighborhood,james-ridley/tales-of-the-genii,Tales of the Genii,James Ridley,2,0,2
0,139,neighborhood,johann-wolfgang-von-goethe/wilhelm-meister-s-apprenticeship,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,2,0,2
0,139,neighborhood,laurence-sterne/a-sentimental-journey,A Sentimental Journey,Laurence Sterne,2,2,0
0,139,neighborhood,thomas-hardy/the-woodlanders,The Woodlanders,Thomas Hardy,2,2,0
0,139,neighborhood,walter-scott/the-fair-maid-of-perth,The Fair Maid of Perth,Walter Scott,2,0,2
0,139,neighborhood,wilkie-collins/no-name,No Name,Wilkie Collins,2,2,0
0,139,neighborhood,wilkie-collins/the-woman-in-white,The Woman in White,Wilkie Collins,2,2,0
0,139,neighborhood,william-shakespeare/timon-of-athens,Timon of Athens,William Shakespeare,2,0,2
0,139,neighborhood,william-shakespeare/titus-andronicus,Titus Andronicus,William Shakespeare,2,0,2
0,139,neighborhood,adolphe-d-ennery/the-two-orphans,The Two Orphans,Adolphe d'Ennery,1,0,1
0,139,neighborhood,alexander-gordon/itinerarium-septentrionale,Itinerarium Septentrionale,Alexander Gordon,1,0,1
0,139,neighborhood,alexandre-dumas-fils/the-lady-of-the-camellias,The Lady of the Camellias,Alexandre Dumas fils,1,0,1
0,139,neighborhood,anonymous/a-boke-of-cokery,A Boke of Cokery,Anonymous,1,0,1
0,139,neighborhood,anonymous/beowulf,Beowulf,Anonymous,1,0,1
0,139,neighborhood,anonymous/friendship-s-offering,Friendship's Offering,Anonymous,1,0,1
0,139,neighborhood,anonymous/harrison-s-history-of-london,Harrison's History of London,Anonymous,1,0,1
0,139,neighborhood,anonymous/the-complaynt-of-scotland,The Complaynt of Scotland,Anonymous,1,0,1
0,139,neighborhood,anonymous/the-heliogabaliad,The Heliogabaliad,Anonymous,1,0,1
0,139,neighborhood,anthony-trollope/doctor-thorne,Doctor Thorne,Anthony Trollope,1,1,0
0,139,neighborhood,arthur-wing-pinero/the-gay-lord-quex,The Gay Lord Quex,Arthur Wing Pinero,1,0,1
0,139,neighborhood,arthur-wing-pinero/the-notorious-mrs-ebbsmith,The Notorious Mrs Ebbsmith,Arthur Wing Pinero,1,0,1
0,139,neighborhood,arthur-wing-pinero/the-profligate,The Profligate,Arthur Wing Pinero,1,0,1
0,139,neighborhood,arthur-wing-pinero/the-second-mrs-tanqueray,The Second Mrs Tanqueray,Arthur Wing Pinero,1,0,1
0,139,neighborhood,ben-jonson/the-new-inn,The New Inn,Ben Jonson,1,0,1
0,139,neighborhood,bernard-shaw/androcles-and-the-lion,Androcles and the Lion,Bernard Shaw,1,0,1
0,139,neighborhood,bernard-shaw/how-he-lied-to-her-husband,How He Lied to Her Husband,Bernard Shaw,1,0,1
0,139,neighborhood,byron/poems,Poems,Byron,1,0,1
0,139,neighborhood,byron/the-dream,The Dream,Byron,1,0,1
0,139,neighborhood,charles-major/dorothy-vernon-of-haddon-hall,Dorothy Vernon of Haddon Hall,Charles Major,1,0,1
0,139,neighborhood,charles-perrault/contes-de-ma-mere-l-oye,Contes de ma mère l'Oye,Charles Perrault,1,0,1
0,139,neighborhood,charlotte-perkins-gilman/herland,Herland,Charlotte Perkins Gilman,1,1,0
0,139,neighborhood,daniel-neal/the-history-of-the-puritans,The History of the Puritans,Daniel Neal,1,0,1
0,139,neighborhood,edward-bulwer-lytton/eugene-aram,Eugene Aram,Edward Bulwer-Lytton,1,0,1
0,139,neighborhood,edward-payson-roe/barriers-burned-away,Barriers Burned Away,Edward Payson Roe,1,0,1
0,139,neighborhood,elizabeth-barrett-browning/aurora-leigh,Aurora Leigh,Elizabeth Barrett Browning,1,0,1
0,139,neighborhood,ernest-hemingway/a-farewell-to-arms,A Farewell to Arms,Ernest Hemingway,1,0,1
0,139,neighborhood,eugene-brieux/damaged-goods,Damaged Goods,Eugene Brieux,1,0,1
0,139,neighborhood,f-anstey/the-brass-bottle,The Brass Bottle,F. Anstey,1,0,1
0,139,neighborhood,frederic-somner-merryweather/lives-and-anecdotes-of-misers,Lives and Anecdotes of Misers,Frederic Somner Merryweather,1,0,1
0,139,neighborhood,friedrich-schiller/wallenstein,Wallenstein,Friedrich Schiller,1,0,1
0,139,neighborhood,garci-rodriguez-de-montalvo/amadis-de-gaul,Amadis de Gaul,Garci Rodriguez de Montalvo,1,0,1
0,139,neighborhood,george-lillo/the-london-merchant,The London Merchant,George Lillo,1,0,1
0,139,neighborhood,h-rider-haggard/she,She,H. Rider Haggard,1,1,0
0,139,neighborhood,harold-frederic/the-damnation-of-theron-ware,The Damnation of Theron Ware,Harold Frederic,1,0,1
0,139,neighborhood,harry-castlemon/frank-on-the-lower-mississippi,Frank on the Lower Mississippi,Harry Castlemon,1,0,1
0,139,neighborhood,henrik-ibsen/ghosts,Ghosts,Henrik Ibsen,1,0,1
0,139,neighborhood,isak-dinesen/out-of-africa,Out of Africa,Isak Dinesen,1,0,1
0,139,neighborhood,james-boswell/life-of-johnson,Life of Johnson,James Boswell,1,0,1
0,139,neighborhood,james-macpherson/the-poems-of-ossian,The Poems of Ossian,James Macpherson,1,0,1
0,139,neighborhood,james-whitcomb-riley/an-old-sweetheart-of-mine,An Old Sweetheart of Mine,James Whitcomb Riley,1,0,1
0,139,neighborhood,jane-austen/sense-and-sensibility,Sense and Sensibility,Jane Austen,1,1,0
0,139,neighborhood,john-c-gunn/gunn-s-domestic-medicine,Gunn’s Domestic Medicine,John C Gunn,1,0,1
0,139,neighborhood,john-dick/the-testimony-to-the-doctrine-worship-discipline-and-government-of-the-church-of-scotland,"The Testimony to the Doctrine, Worship, Discipline, and Government of the Church of Scotland",John Dick,1,0,1
0,139,neighborhood,john-howe/the-living-temple,The Living Temple,John Howe,1,0,1
0,139,neighborhood,john-rastell/the-pastyme-of-people,The Pastyme of People,John Rastell,1,0,1
0,139,neighborhood,john-rawls/a-theory-of-justice,A Theory of Justice,John Rawls,1,0,1
0,139,neighborhood,leo-tolstoy/the-power-of-darkness,The Power of Darkness,Leo Tolstoy,1,0,1
0,139,neighborhood,lucy-leavenworth-wilder-morris/old-rail-fence-corners,Old Rail Fence Corners,Lucy Leavenworth Wilder Morris,1,0,1
0,139,neighborhood,malcolm-gladwell/outliers,Outliers,Malcolm Gladwell,1,0,1
0,139,neighborhood,martin-luther/table-talk,Table Talk,Martin Luther,1,0,1
0,139,neighborhood,neal-stephenson/cryptonomicon,Cryptonomicon,Neal Stephenson,1,0,1
0,139,neighborhood,neil-gaiman/coraline,Coraline,Neil Gaiman,1,1,0
0,139,neighborhood,owen-davis/nellie-the-beautiful-cloak-model,Nellie the Beautiful Cloak Model,Owen Davis,1,0,1
0,139,neighborhood,philip-freneau/the-indian-student,The Indian Student,Philip Freneau,1,0,1
0,139,neighborhood,philip-melanchthon/augsburg-confession,Augsburg Confession,Philip Melanchthon,1,0,1
0,139,neighborhood,reginald-scot/the-discoverie-of-witchcraft,The Discoverie of Witchcraft,Reginald Scot,1,0,1
